1,40
1,11
1,30
1,25
2,240
2,23
2,280
2,11
2,15
2,500
2,14
3,27
3,7
3,165
3,75
3,400
3,200
3,12
3,75
3,350
3,400
3,260
3,105
3,90
3,120
4,49
4,20
4,180
4,95
4,46
4,40
5,460
5,300
5,280
5,200
5,60
5,21
5,13
5,75
5,100
5,29
6,10
6,35
6,80
6,55
6,170
7,155
7,300
7,85
8,65
8,20
8,510
8,23
8,50
8,80
9,65
9,125
9,36
9,31
10,80
10,200
10,35
10,115
10,110
10,19
10,21
10,19
11,90
11,110
11,130
11,140
11,42
11,90
11,11
12,20
12,12
13,31
13,25
13,21
13,23
14,95
14,15
14,12
14,10
14,17
14,10
15,95
15,5100
15,2700
16,75
16,270
17,38
17,145
17,190
18,1340
18,30
18,12
18,20
18,70
20,120
20,28
21,13
22,6
22,15
23,14
23,2290
24,11
25,680
25,23
25,41
25,850
25,34
25,180
25,33
25,10
26,47
26,7
26,36
27,27
27,49
28,12
29,18
29,28
30,39
30,70
30,28
31,190
32,750
33,1880
33,60
34,370
34,40
34,10
35,790
35,6
36,44
36,29
36,100
36,650
36,990
36,110
37,55
38,40
38,43
39,3500
39,80
40,14
40,65
40,3430
40,30
40,1280
40,5
40,2440
41,14
41,20
41,46
42,260
43,3780
44,24
44,4000
44,6
45,20
46,55
46,41
46,26
46,200
47,55
47,25
47,20
47,21
47,22
48,33
48,27
49,29
49,14
49,9
49,8
50,13
50,33
50,65
50,14
51,17
51,44
51,25
52,29
52,8
53,16
54,26
55,11
55,10
55,11
55,10
55,10
57,36
57,38
58,14
58,42
58,2780
59,20
61,210
61,6
62,11
62,1
62,5
63,26
63,10
64,8
65,2070
65,16
65,16
65,23
65,340
65,13
66,28
66,9
66,10
67,360
67,14
68,21
68,16
70,9
71,1200
71,70
72,10
73,49
73,13
73,33
73,450
73,10
75,1400
76,16
77,6
78,25
78,25
78,16
79,15
80,32
80,35
80,29
81,10
82,9
82,10
83,14
84,21
86,42
86,28
86,9
88,8
88,920
89,13
90,39
90,8
90,41
90,90
90,90
92,40
93,11
93,12
94,26
95,26
96,34
96,15
96,18
97,37
98,8
98,4
99,14
100,10
100,15
101,35
101,75
102,22
102,380
103,180
104,14
104,20
106,6
106,17
107,18
108,9
109,7
109,6
109,8
110,19
110,18
110,18
112,22
112,10
113,6
115,9
117,870
117,8
117,19
118,6
119,420
121,5
121,8
121,13
122,19
129,12
129,24
131,32
132,8
133,13
133,220
133,25
134,6
134,880
135,11
137,11
137,14
140,11
141,8
142,75
142,9
142,13
143,7
145,20
146,10
146,16
146,42
146,10
146,740
148,22
148,13
151,23
151,10
151,1780
152,15
152,860
152,20
152,8
155,37
155,43
156,16
157,20
159,8
159,13
160,16
161,7
162,9
162,11
162,7
164,21
164,55
164,8
166,11
166,8
167,2
168,10
168,10
169,25
169,6
169,5
169,3
171,760
172,24
173,26
173,660
173,5
174,13
174,26
175,7
175,50
175,155
176,37
176,13
176,9
177,145
177,800
178,9
179,460
179,990
180,6
182,10
183,21
185,11
185,12
185,22
185,26
187,14
189,15
189,9
189,280
191,1080
191,3
194,14
197,33
197,31
199,11
199,5
200,19
200,22
201,15
201,10
203,18
204,11
204,7
205,11
206,6
209,13
210,1120
211,17
212,28
214,12
214,19
214,8
218,29
218,24
220,18
221,6
221,29
221,11
222,34
223,16
223,10
224,10
224,16
225,13
225,2080
227,45
228,6
228,16
231,950
231,7
231,7
233,310
233,15
235,26
236,12
239,34
240,35
240,8
240,12
241,10
241,7
243,7
246,15
247,13
248,310
249,12
249,16
252,10
253,8
253,240
254,14
254,1080
254,5
254,15
255,4
256,21
256,33
258,7
259,115
259,14
260,7
262,12
262,12
266,10
267,22
269,27
269,29
269,820
270,360
272,10
275,310
275,24
276,20
278,2
278,12
278,85
279,17
279,19
285,16
285,23
