"
          Goten / Trunks (2-Pack)        ","
$49.00        ","
          5770 Own
        ","
          1493 Want
        ",Released 2018Excl. to Funimation/BoxLunch 
"
          Gotenks        ","
$24.00        ","
          7670 Own
        ","
          1728 Want
        ",#319Released 2018Excl. to PreviewsEdition Size: 20000 
"
          Gotenks (Super Ghost Kamikaze Attack) [SDCC]        ","
$39.00        ","
          295 Own
        ","
          327 Want
        ",#634Released 2019Excl. to San Diego Comic Con 
"
          Gotenks (Super Ghost Kamikaze Attack) [Summer Convention]        ","
$17.00        ","
          3270 Own
        ","
          310 Want
        ",#634Released 2019Excl. to BoxLunch (SDCC) 
"
          Great Ape Goku        ","
N/D        ","
          149 Own
        ","
          281 Want
        ",#624Released 2019Excl. to Entertainment Earth 
"
          Great Ape Vegeta [Fall Convention]        ","
$41.00        ","
          6648 Own
        ","
          1237 Want
        ",#434Released 2018Excl. to Hot Topic (NYCC) 
"
          Great Ape Vegeta [NYCC]        ","
$75.00        ","
          402 Own
        ","
          568 Want
        ",#434Released 2018Excl. to New York Comic Con 
"
          HIT        ","
$24.00        ","
          8406 Own
        ","
          1539 Want
        ",#315Released 2018Excl. to Toys R Us 
"
          Jiren        ","
$19.00        ","
          3795 Own
        ","
          1103 Want
        ",#516Released 2019Excl. to PAX South 
"
          Kid Buu        ","
$7.00        ","
          2663 Own
        ","
          291 Want
        ",#620Released 2019 
"
          King Kai & Bubbles        ","
$8.00        ","
          4503 Own
        ","
          677 Want
        ",#532Released 2019 
"
          Krillin        ","
$17.00        ","
          11746 Own
        ","
          2394 Want
        ",#110Released 2016 
"
          Krillin (with Destructo Disc)        ","
N/D        ","
          85 Own
        ","
          312 Want
        ",Due 2019-11-01 
"
          Legendary Super Saiyan Broly        ","
$27.00        ","
          2529 Own
        ","
          402 Want
        ",#623Released 2019Excl. to Galactic Toys 
"
          Legendary Super Saiyan Broly (Glow in the Dark)        ","
$135.00        ","
          984 Own
        ","
          558 Want
        ",#623Released 2019Excl. to Galactic Toys 
"
          Majin Buu        ","
$7.00        ","
          15140 Own
        ","
          2457 Want
        ",#111Released 2016 
"
          Majin Buu (Chocolate)        ","
$20.00        ","
          8439 Own
        ","
          3172 Want
        ",#111 
"
          Majin Vegeta        ","
$80.00        ","
          4132 Own
        ","
          1972 Want
        ",#445Released 2018Excl. to Over9000.com (Online and NYCC Booth) 
"
          Master Roshi        ","
$5.00        ","
          5683 Own
        ","
          855 Want
        ",#382Released 2018 
"
          Master Roshi (Max Power)        ","
$7.00        ","
          4609 Own
        ","
          919 Want
        ",#533Released 2018Excl. to Specialty Series 
"
          Master Roshi (Peace Sign)        ","
$13.00        ","
          4708 Own
        ","
          975 Want
        ",#381Released 2018Excl. to FYE 
"
          Mecha Frieza        ","
N/D        ","
          93 Own
        ","
          345 Want
        ",Due 2019-11-01 
"
          Nappa        ","
$5.00        ","
          1930 Own
        ","
          269 Want
        ",#613Released 2019 
"
          Perfect Cell        ","
$9.00        ","
          18393 Own
        ","
          2632 Want
        ",#13Released 2014 
"
          Piccolo        ","
$9.00        ","
          18531 Own
        ","
          2635 Want
        ",#11Released 2014 
"
          Piccolo (Lotus Position) [Fall Convention]        ","
$14.00        ","
          1649 Own
        ","
          179 Want
        ",#670Released 2019Excl. to GameStop (NYCC) 
"
          Piccolo (Lotus Position) [NYCC]        ","
$50.00        ","
          123 Own
        ","
          70 Want
        ",#670Released 2019Excl. to New York Comic Con 
"
          Piccolo (One Arm)        ","
N/D        ","
          85 Own
        ","
          302 Want
        ",Due 2019-11-01 
"
          Planet Arlia Vegeta        ","
$2320.00        ","
          1555 Own
        ","
          5693 Want
        ",#10Released 2014Excl. to New York Comic Con/Toy Tokyo  
