1.5,6
2,4
2.6,3
3,6
3.1,4
3.3,3
3.4,11
3.7,14
4,5
4.4,3
4.4,4
4.9,3
5.4,4
5.6,5
5.7,22
5.9,2
6.2,7
6.3,12
6.4,7
6.5,12
6.5,5
6.5,25
6.6,3
6.8,9
7,8
7,22
7.1,14
7.1,6
7.1,8
7.1,5
7.1,7
7.3,14
7.6,7
7.7,7
7.7,14
7.8,10
7.9,10
7.9,21
8,17
8,12
8,8
8.1,18
8.1,17
8.2,35
8.3,9
8.3,4
8.3,3
8.4,10
8.4,13
8.4,21
8.5,23
8.5,9
8.5,22
8.5,5
8.6,4
8.6,7
8.7,6
8.7,5
8.7,16
8.8,17
8.8,8
8.8,12
8.8,18
8.8,16
8.9,14
9,8
9,18
9,12
9,15
9.1,9
9.1,7
9.3,10
9.3,22
9.3,7
9.3,4
9.3,9
9.4,12
9.5,13
9.7,12
9.7,8
9.7,18
9.8,16
9.8,19
9.8,6
9.9,17
10,12
10,6
10,34
10.1,14
10.1,21
10.1,18
10.1,8
10.2,15
10.2,31
10.2,21
10.2,15
10.2,4
10.3,12
10.3,7
10.4,12
10.4,13
10.4,7
10.5,10
10.5,6
10.5,10
10.5,9
10.6,8
10.6,7
10.6,12
10.6,9
10.7,10
10.7,7
10.7,24
10.7,6
10.8,37
10.8,6
10.9,7
11,6
11,17
11,20
11.1,9
11.1,8
11.1,11
11.1,16
11.1,20
11.2,9
11.2,29
11.2,17
11.2,15
11.2,8
11.3,8
11.3,34
11.3,16
11.3,7
11.4,15
11.4,10
11.5,11
11.5,7
11.5,8
11.6,4
11.7,8
11.7,8
11.7,36
11.7,10
11.7,26
11.7,10
11.8,10
11.8,11
11.9,8
11.9,7
11.9,8
11.9,4
12,25
12,6
12.1,8
12.1,8
12.1,26
12.1,7
12.1,19
12.2,29
12.2,6
12.2,4
12.3,4
12.3,19
12.3,6
12.3,19
12.3,15
12.4,11
12.4,31
12.4,26
12.5,29
12.5,30
12.6,16
12.6,16
12.7,5
12.7,6
12.7,12
12.8,8
12.8,26
12.8,8
12.9,6
13.1,14
13.3,10
13.3,12
13.3,7
13.3,11
13.3,8
13.5,6
13.5,23
13.5,7
13.5,3
13.5,14
13.5,14
13.6,8
13.6,9
13.6,20
13.6,20
13.7,7
13.7,6
13.7,9
13.7,5
13.7,12
13.8,14
13.8,10
13.8,9
13.8,8
13.8,20
13.8,5
13.8,10
13.8,25
13.9,10
13.9,10
14,10
14,7
14.1,7
14.1,5
14.1,9
14.2,6
14.2,15
14.2,21
14.2,7
14.2,9
14.2,15
14.3,7
14.3,5
14.3,8
14.3,27
14.4,11
14.5,23
14.5,7
14.5,26
14.5,14
14.5,6
14.6,11
14.6,26
14.6,11
14.6,9
14.7,7
14.7,5
14.7,8
14.7,5
14.8,8
14.8,6
14.8,6
14.8,8
14.8,16
14.9,80
14.9,17
14.9,4
14.9,11
14.9,16
14.9,19
15,8
15.1,25
15.1,41
15.1,20
15.1,6
15.1,12
15.1,7
15.1,13
15.2,10
15.2,9
15.2,23
15.2,14
15.2,30
15.2,19
15.2,30
15.3,5
15.3,16
15.3,6
15.3,23
15.4,7
15.4,7
15.4,6
15.4,14
15.4,8
15.5,9
15.6,36
15.6,17
15.7,26
15.7,5
15.7,19
15.8,8
